name,email,Wybrany dnia,Lista,Okręg wyborczy,Liczba głosów,Ślubowanie,Staż parlamentarny,Klub/koło,Data i miejsce urodzenia,Wykształcenie,Ukończona szkoła,Zawód,Funkcja w klubie/kole,Tytuł/stopień naukowy,Wybrana dnia,Funkcja w Sejmie,Wygaśnięcie mandatu
Mirosława Stachowiak-Różecka,Miroslawa.Stachowiak-Rozecka@sejm.pl,,Prawo i Sprawiedliwość,3  Wrocław,91236,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"08-07-1973, Świebodzin",wyższe,"Dolnośląska Szkoła Wyższa, Wydział Nauk Pedagogicznych, Pedagogika Specjalna - magister (2017)",pedagog,,,13-10-2019,,
Dariusz Stefaniuk,Dariusz.Stefaniuk@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,7  Chełm,15070,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"10-05-1981, Biała Podlaska",wyższe,"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie, Wydział Nauk Historycznych i Społecznych, Politologia - magister (2006)Szkoła Główna Handlowa, Podyplomowe Studia Menadżerskie (2009) - studia podyplomoweSzkoła Główna Handlowa, Menadżer Samorządu Terytorialnego (2017) - studia podyplomowe",wyższy urzędnik samorządowy,,,,,
Franciszek Sterczewski,Franciszek.Sterczewski@sejm.pl,13-10-2019,Koalicja Obywatelska,39  Poznań,25060,12-11-2019,brak,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","17-03-1988, Poznań",wyższe,"Uniwersytet Artystyczny w Poznaniu, Wydział Architektury i Wzornictwa, Architektura i Urbanistyka - inżynier architekt (2014)",architekt,,,,,
Beata Strzałka,Beata.Strzalka@sejm.pl,,Prawo i Sprawiedliwość,7  Chełm,7785,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"14-06-1971, Biłgoraj",wyższe,"Wyższa Szkoła Gospodarki Euroregionalnej im. Alcide De Gasperi w Józefowie, Wydział Nauk Społecznych, Pedagogika Opiekuńczo-Wychowawcza z Resocjalizacją - licencjat (2017)Wyższa Szkoła Zarządzania i Administracji, Ubezpieczenia Społeczne i Zdrowotne, Prawo Pracy (2018) - studia podyplomoweKolegium Pracowników Służb Społecznych, Organizacja Pomocy Społecznej (2019) - studia podyplomowe",przedstawiciel władzy samorządowej,,,13-10-2019,,
Mirosław Suchoń,Miroslaw.Suchon@sejm.pl,13-10-2019,Koalicja Obywatelska,27  Bielsko-Biała,10039,12-11-2019,poseł VIII kadencji,Koło Parlamentarne Polska 2050,"10-01-1976, Bielsko-Biała",wyższe,"Wyższa Szkoła Bankowa w Poznaniu, Wydział Zamiejscowy w Chorzowie, Finanse i Bankowość - licencjat (2000)",ekonomista,,,,,
Marek Suski,Marek.Suski@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,17  Radom,69141,12-11-2019,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"11-06-1958, Grójec",średnie policealne/pomaturalne,"Pomaturalne Studium Zawodowe, Technik Teatralny (1980)",polityk - sekretarz stanu,wiceprzewodniczący,,,,
Artur Szałabawka,Artur.Szalabawka@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,41  Szczecin,11346,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"03-10-1967, Szczecin",wyższe,"Uniwersytet Szczeciński, Wydział Humanistyczny, Politologia i Nauki Społeczne w Zakresie Socjologi - magister (2001)",parlamentarzysta,,,,,
Wojciech Szarama,Wojciech.Szarama@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,29  Katowice,16649,12-11-2019,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"16-12-1955, Bytom",wyższe,"Uniwersytet Śląski, Wydział Prawa, Prawo - magister (1983)",adwokat,wiceprzewodniczący,,,,
Wiesław Szczepański,Wieslaw.Szczepanski@sejm.pl,13-10-2019,Sojusz Lewicy Demokratycznej,36  Kalisz,23799,12-11-2019,"poseł II kadencji, poseł III kadencji, poseł V kadencji, poseł VI kadencji","Koalicyjny Klub Parlamentarny Lewicy (Nowa Lewica, PPS, Razem)","01-06-1960, Chrośnica",wyższe,"Akademia Ekonomiczna w Poznaniu, Organizacja i Zarządzanie, Organizacja i Zarządzanie - magister (1983)",ekonomista,,,,,
Michał Szczerba,Michal.Szczerba@sejm.pl,13-10-2019,Koalicja Obywatelska,19  Warszawa,13747,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","14-12-1977, Warszawa",wyższe,"Uniwersytet Warszawski, Instytut Stosowanych Nauk Społecznych, Socjologia (2001)Szkoła Główna Handlowa w Warszawie, Europ. Stud. Finans. Inwest. w Samorz. Terytorialnym (2004) - studia podyplomowe",poseł na Sejm RP,,,,,
Aleksandra Szczudło,Aleksandra.Szczudlo@sejm.pl,,Prawo i Sprawiedliwość,24  Białystok,12222,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"22-09-1983, Ciechanowiec",wyższe,"Uniwersytet w Białymstoku, Prawo, Administracja - magister (2008)Uniwersytet w Białymstoku, Zarzadzanie Zasobami Ludzkimi (2009) - studia podyplomowe",dyrektor do spraw energetyki,,,13-10-2019,,
Józefa Szczurek-Żelazko,Jozefa.Szczurek-Zelazko@sejm.pl,,Prawo i Sprawiedliwość,15  Tarnów,25323,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"14-03-1961, Nowy Sącz",wyższe,"Akademia Medyczna w Lublinie, Wydział Pielęgniarski - magister (1994)Politechnika Krakowska, Audyt Wewn. Jedn. Sekt. Fin. Publ. (2004) - studia podyplomowe",menedżer ochrony zdrowia,,,13-10-2019,,
Paweł Szefernaker,Pawel.Szefernaker@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,40  Koszalin,22116,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"27-02-1987, Szczecin",wyższe,"Europejska Wyższa Szkoła Prawa i Administracji (Warszawa), Wydział Prawa, Prawo - magister (2011)",prawnik,,,,,
Andrzej Szejna,Andrzej.Szejna@sejm.pl,13-10-2019,Sojusz Lewicy Demokratycznej,33  Kielce,24337,12-11-2019,brak,"Koalicyjny Klub Parlamentarny Lewicy (Nowa Lewica, PPS, Razem)","28-04-1973, Końskie",wyższe,"Szkoła Główna Handlowa w Warszawie, Finanse i Bankowość, Ekonomia - magister (1996)Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (1997)",radca prawny,,,,,
Andrzej Szewiński,Andrzej.Szewinski@sejm.pl,13-10-2019,Koalicja Obywatelska,28  Częstochowa,10023,12-11-2019,"senator VII kadencji, senator VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","20-02-1970, Warszawa",wyższe,"Uniwersytet Humanistyczno-Przyrodniczy im. Jana Długosza w Częstochowie, Wydział Pedagogiczny, Pedagogika z Wychowaniem Fizycznym - magister (1994)Akademia Wyższej Szkoły Biznesu w Dąbrowie Górniczej, Executive MBA (2018) - studia podyplomowe",urzędnik,,,,,
Adam Szłapka,Adam.Szlapka@sejm.pl,13-10-2019,Koalicja Obywatelska,39  Poznań,51951,12-11-2019,poseł VIII kadencji,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","06-12-1984, Kościan",wyższe,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Nauk Politycznych i Dziennikarstwa, Politologia - magister (2008)Polski Instytut Spraw Międzynarodowych, Studium Polityki Zagranicznej (2012) - studia podyplomowe",politolog,,,,,
Jan Szopiński,Jan.Szopinski@sejm.pl,13-10-2019,Sojusz Lewicy Demokratycznej,4  Bydgoszcz,11821,12-11-2019,brak,"Koalicyjny Klub Parlamentarny Lewicy (Nowa Lewica, PPS, Razem)","01-08-1957, Kosobudy",wyższe,"Akademia Nauk Społecznych w Warszawie, Wydział Ekonomiczny, Polityka i Ekonomika Przemysłu - magister (1987)Akademia Nauk Społecznych w Warszawie, Polityka Społeczno-Gospodarcza (1990) - studia podyplomoweWyższa Szkoła Pedagogiczna w Bydgoszczy, Administracja i Zarządzanie, Administracja i Zarządzanie (1997) - studia podyplomoweHogeschool Utrecht i Uniwersytet Warszawski, Studium w zakresie komunikacji i informacji społecznej (1997) - studia podyplomowe",ekonomista,,,,,
Paweł Szramka,Pawel.Szramka@sejm.pl,13-10-2019,Polskie Stronnictwo Ludowe,5  Toruń,14404,12-11-2019,poseł VIII kadencji,Koło Poselskie Polskie Sprawy,"18-06-1989, Brodnica",wyższe,"Wyższa Szkoła Bankowa w Toruniu, Wydział Zarządzania, Logistyka w Biznesie - licencjat (2012)Wyższa Szkoła Bankowa w Toruniu Oddział w Bydgoszczy, Wydział Zarządzania, Zarządzanie Procesem Logistycznym - magister (2015)Wyższa Szkoła Bankowa w Toruniu Oddział w Bydgoszczy, Studia Menedżerskie (2015) - studia podyplomowe",specjalista do spraw logistyki,,,,,
Krzysztof Szulowski,Krzysztof.Szulowski@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,6  Lublin,9764,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"25-05-1963, Janowiec",wyższe,"Akademia Rolnicza w Lublinie, Wydział Weterynaryjny, Weterynaria - lekarz weterynarii (1988)Państwowy Instytut Weterynaryjny, Weterynaria - doktor (1997)Państwowy Instytut Weterynaryjny, Weterynaria - doktor habilitowany (2006)",lekarz weterynarii,,profesor doktor habilitowany (2020),,,
Krystyna Szumilas,Krystyna.Szumilas@sejm.pl,,Koalicja Obywatelska,29  Katowice,24372,12-11-2019,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","28-06-1956, Knurów",wyższe,"Uniwersytet Śląski, Matematyka, Fizyka i Chemia, Matematyka - magister (1983)Uniwersytet Śląski, Informatyka (1988) - studia podyplomoweUniwersytet Śląski, Samorząd Terytorialny (1999) - studia podyplomoweSzkoła Zarządzania Uniwersytetu Śląskiego, Zarządzanie Zasobami Ludzkimi (1999) - studia podyplomowe",poseł,,,13-10-2019,,
Łukasz Szumowski,Lukasz.Szumowski@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,16  Płock,35798,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"03-06-1972, Warszawa",wyższe,"Akademia Medyczna w Warszawie, Wydział Lekarski, Kardiologia - lekarz (1997)Instytut Kardiologii im. Prymasa St.Wyszyńskiego - doktor (2002)",lekarz - specjalista kardiolog,,profesor doktor habilitowany (2016),,,
Stanisław Szwed,Stanislaw.Szwed@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,27  Bielsko-Biała,65315,12-11-2019,"poseł III kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"12-04-1955, Bielsko-Biała",wyższe,"Krakowska Szkoła Wyższa im. A.F. Modrzewskiego, Wydział Prawa i Administracji, Administracja Publiczna - magister (2006)",parlamentarzysta,,,,,
Ewa Szymańska,Ewa.Szymanska@sejm.pl,,Prawo i Sprawiedliwość,1  Legnica,8930,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"24-04-1952, Prochowice",wyższe,"Akademia Ekonomiczna we Wrocławiu, Gospodarka Narodowa, Ekonomika Handlu Wewnętrznego - dyplomowany ekonomista (1977)Wyższa Szkoła Handlu i Finansów Międzynarodowych (Warszawa), Wycena Nieruchomości (2001) - studia podyplomowe",biegły rewident,,,13-10-2019,,
Tomasz Szymański,Tomasz.Szymanski@sejm.pl,13-10-2019,Koalicja Obywatelska,5  Toruń,11845,12-11-2019,"poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","24-04-1978, Grudziądz",wyższe,"Uniwersytet Mikołaja Kopernika, Wydział Prawa i Administracji, Administracja - magister (2003)Uniwersytet Gdański, Zarządzanie Zasobami Ludzkimi (2008) - studia podyplomowe",poseł zawodowy,,,,,
Szymon Szynkowski vel Sęk,Szymon.SzynkowskiVelSek@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,39  Poznań,24233,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"24-11-1982, Poznań",wyższe,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Prawo i Administracja, Stosunki Międzynarodowe - magister (2006)",sekretarz stanu,,,,,
Agnieszka Ścigaj,Agnieszka.Scigaj@sejm.pl,,Polskie Stronnictwo Ludowe,13  Kraków,20877,12-11-2019,poseł VIII kadencji,Koło Poselskie Polskie Sprawy,"22-12-1975, Kraków",wyższe,"Uniwersytet Śląski, Wydział Nauk Społecznych, Socjologia - magister (2001)Uniwersytet Ekonomiczny w Krakowie, Ekonomia Społeczna (2011) - studia podyplomowe",socjolog,przewodnicząca,,13-10-2019,,
Iwona Śledzińska-Katarasińska,Iwona.Sledzinska-Katarasinska@sejm.pl,,Koalicja Obywatelska,9  Łódź,17254,12-11-2019,"poseł I kadencji, poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","03-01-1941, Komorniki",wyższe,"Uniwersytet Łódzki, Wydział Filologiczny, Filologia Polska - magister (1963)",dziennikarz,wiceprzewodnicząca,,13-10-2019,,
Krzysztof Śmiszek,Krzysztof.Smiszek@sejm.pl,13-10-2019,Sojusz Lewicy Demokratycznej,3  Wrocław,43447,12-11-2019,brak,"Koalicyjny Klub Parlamentarny Lewicy (Nowa Lewica, PPS, Razem)","25-08-1979, Stalowa Wola",wyższe,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo i Administracja - magister (2003)Uniwersytet Warszawski, Prawo Europejskie (2006) - studia podyplomoweUniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - doktor (2016)",prawnik,wiceprzewodniczący, doktor,,,
Janusz Śniadek,Janusz.Sniadek@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,26  Słupsk,9342,12-11-2019,"poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"26-05-1955, Sopot",wyższe,"Politechnika Gdańska, Instytut Okrętowy, Mechanika specjalna, okręty - magister inżynier (1981)",inżynier mechanik,członek prezydium,,,,
Adam Śnieżek,Adam.Sniezek@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,22  Krosno,11260,12-11-2019,"poseł III kadencji, poseł VI kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"25-02-1951, Orzechówka",wyższe,"Uniwersytet Jagielloński w Krakowie, Wydział Matematyki, Fizyki i Chemii, Matematyka - magister (1974)",specjalista do spraw socjalnych,,,,,
Jacek Świat,Jacek.Swiat@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,3  Wrocław,15537,12-11-2019,"poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"16-12-1955, Wrocław",wyższe,"Uniwersytet Wrocławski, Wydział Filologiczny, Filologia polska (1980)",parlamentarzysta,,,,,
Dominik Tarczyński,,13-10-2019,Prawo i Sprawiedliwość,33  Kielce,8186,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"27-03-1979, Lublin",wyższe,"Katolicki Uniwersytet Lubelski, Wydział Prawa i Administracji, Prawo - magister (2006)",prawnik,,,,,01-02-2020
Krzysztof Tchórzewski,Krzysztof.Tchorzewski@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,18  Siedlce,62891,12-11-2019,"poseł I kadencji, poseł III kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"19-05-1950, Rzążew",wyższe,"Politechnika Warszawska, Wydział Elektryczny, Zabezpieczenia elektroenergetyczne - magister inżynier (1974)",parlamentarzysta,członek prezydium,,,,
Robert Telus,Robert.Telus@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,10  Piotrków Trybunalski,27254,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"18-04-1969, Opoczno",wyższe,"Politechnika Krakowska, Wydział Inżynierii Środowiska, Ochrona środowiska - inżynier (1996)",rolnik,członek prezydium,,,,
Ryszard Terlecki,Ryszard.Terlecki@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,13  Kraków,10327,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"02-09-1949, Kraków",wyższe,"Uniwersytet Jagielloński w Krakowie, Wydział Filozoficzno-Historyczny, Historia - magister (1976)Uniwersytet Jagielloński w Krakowie, Wydział Filozoficzno-Historyczny, Nauki humanistyczne - doktor (1980)Rada Naukowa Instytutu Historii, Nauki, Oświaty i Techniki PAN, Nauki humanistyczne - doktor habilitowany (1992)",wykładowca akademicki,przewodniczący,profesor doktor habilitowany (2002),,Wicemarszałek Sejmu od 12-11-2019,
Tadeusz Tomaszewski,Tadeusz.Tomaszewski@sejm.pl,13-10-2019,Sojusz Lewicy Demokratycznej,37  Konin,17515,12-11-2019,"poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji","Koalicyjny Klub Parlamentarny Lewicy (Nowa Lewica, PPS, Razem)","21-02-1959, Niechanowo",wyższe,"Wyższa Szkoła Umiejętności Społecznych, Marketing i Zarządzanie - licencjat (2000)",ekonomista,,,,,
Włodzimierz Tomaszewski,Wlodzimierz.Tomaszewski@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,9  Łódź,6884,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"16-11-1956, Łódź",wyższe,"Uniwersytet Łódzki, Wydział Filozoficzno-Historyczny, Pedagogika kulturalno-oświatowa - magister (1980)",pedagog,,,,,
Jacek Tomczak,Jacek.Tomczak@sejm.pl,13-10-2019,Polskie Stronnictwo Ludowe,37  Konin,9833,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Polska - PSL, UED, Konserwatyści","27-07-1973, Poznań",wyższe,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Prawa, Prawo - magister (1998)",notariusz,wiceprzewodniczący,,,,
Cezary Tomczyk,Cezary.Tomczyk@sejm.pl,13-10-2019,Koalicja Obywatelska,11  Sieradz,44217,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","25-08-1984, Gryfice",wyższe,"Uniwersytet Warszawski, Wydział Dziennikarstwa i Nauk Politycznych, Marketing polityczny - magister (2008)",politolog,,,,,
Małgorzata Tracz,Malgorzata.Tracz@sejm.pl,,Koalicja Obywatelska,3  Wrocław,28676,12-11-2019,brak,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","08-12-1985, Bolesławiec",wyższe,"Uniwersytet Wrocławski, Wydział Filologiczny, Filologia polska - magister (2009)Uniwersytet Wrocławski, Wydział Nauk Społecznych, Stosunki Międzynarodowe - licencjat (2009)",specjalista do spraw szkoleń,wiceprzewodnicząca,,13-10-2019,,
Tomasz Trela,Tomasz.Trela@sejm.pl,13-10-2019,Sojusz Lewicy Demokratycznej,9  Łódź,40811,12-11-2019,brak,"Koalicyjny Klub Parlamentarny Lewicy (Nowa Lewica, PPS, Razem)","30-12-1979, Łódź",wyższe,"Politechnika Łódzka, Wydział Organizacji i Zarządzania, Zarządzanie przesdsiębiorstwem - magister (2003)Uniwersytet Łódzki, Podyplomowe Studium Finansów i Strategii Spółek (2008) - studia podyplomowe",ekonomista,wiceprzewodniczący,,,,
Mariusz Trepka,Mariusz.Trepka@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,28  Częstochowa,12881,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"06-01-1967, Myszków",wyższe,"Politechnika Częstochowska, Wydział Zarządzania, Zarządzanie, Inzynieria produkcji - inżynier (2009)Politechnika Częstochowska, Wydział Zarządzania, Zarządzanie, Inżynieria produkcji - magister (2011)Wyższa Szkoła Bankowa w Poznaniu O/Chorzów, Zarządzanie zasobami ludzkimi i promocja JST (2014) - studia podyplomowe",inżynier organizacji i planowania produkcji,,,,,
Krzysztof Truskolaski,Krzysztof.Truskolaski@sejm.pl,13-10-2019,Koalicja Obywatelska,24  Białystok,37273,12-11-2019,poseł VIII kadencji,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","25-07-1990, Białystok",wyższe,"Uniwersytet w Białymstoku, Ekonomia i Zarządzanie, Ekonomia - magister (2014)Uniwersytet w Białymstoku, Ekonomia i Zarządzanie, Zarządzanie - magister (2019)",ekonomista,,,,,
Krzysztof Tuduj,Krzysztof.Tuduj@sejm.pl,13-10-2019,Konfederacja Wolność i Niepodległość,3  Wrocław,19617,12-11-2019,brak,Koło Poselskie Konfederacja,"25-04-1981, Warszawa",wyższe,"Uniwersytet Wrocławski, Wydział Prawa, Administracji i Ekonomii, Prawo - magister (2010)Akademia Wojsk Lądowych we Wrocławiu, Zarządzanie Kryzysowe (2017) - studia podyplomowe",prawnik,,,,,
Sylwester Tułajew,Sylwester.Tulajew@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,6  Lublin,54915,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"30-12-1981, Lublin",wyższe,"Politechnika Lubelska, Elektrotechnika i Informatyka, Elektrotechnika - magister inżynier (2005)Wyższa Szkoła Przedsiębiorczości i Administracji, Zarządzanie w administracji i samorządzie terytorialnym (2006) - studia podyplomowe",informatyk,,,,,
Stanisław Tyszka,Stanislaw.Tyszka@sejm.pl,13-10-2019,Polskie Stronnictwo Ludowe,23  Rzeszów,17086,12-11-2019,poseł VIII kadencji,Koło Poselskie Kukiz'15 - Demokracja Bezpośrednia,"11-04-1979, Warszawa",wyższe,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (2004)Europejski Instytut Uniwersytecki we Florencji, Wydział Historii, Nauki humanistyczne - doktor (2011)",wykładowca akademicki,, doktor,,,
Robert Tyszkiewicz,Robert.Tyszkiewicz@sejm.pl,13-10-2019,Koalicja Obywatelska,24  Białystok,17185,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","07-06-1963, Białystok",średnie ogólne,II Liceum Ogólnokształcące w Białymstoku (1983),wydawca,,,,,
Katarzyna Ueberhan,Katarzyna.Ueberhan@sejm.pl,,Sojusz Lewicy Demokratycznej,39  Poznań,33373,12-11-2019,brak,"Koalicyjny Klub Parlamentarny Lewicy (Nowa Lewica, PPS, Razem)","26-08-1975, Poznań",wyższe,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Nauk Społecznych, Filozofia - Życie publiczne - magister (2009)",filozofka,wiceprzewodnicząca,,13-10-2019,,
Jarosław Urbaniak,Jaroslaw.Urbaniak@sejm.pl,13-10-2019,Koalicja Obywatelska,36  Kalisz,17767,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","07-08-1966, Ostrów Wielkopolski",wyższe,"Katolicki Uniwersytet Lubelski, Wydział Filozofii, Filozofia teoretyczna - magister (1991)Uniwersytet Warszawski, Wydział Zarządzania, Zarządzanie - magister (1999)",logik,,,,,
Michał Urbaniak,Michal.Urbaniak@sejm.pl,13-10-2019,Konfederacja Wolność i Niepodległość,25  Gdańsk,14918,12-11-2019,brak,Koło Poselskie Konfederacja,"24-11-1990, Gdynia",wyższe,"Akademia Marynarki Wojennej, Wydział Dowodzenia i Operacji Morskich, Bezpieczeństwo Narodowe - licencjat (2017)Wyższa Szkoła Administracji i Biznesu im. E. Kwiatkowskiego w Gdyni, Zarządzanie Projektami (2018) - studia podyplomowe",przedsiębiorca,,,,,
Piotr Uruski,Piotr.Uruski@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,22  Krosno,20740,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"11-08-1976, Sanok",wyższe,"Uniwersytet Jagielloński, Wydział Historyczny, Historia - magister (2001)Uniwersytet Rzeszowski, Nauki Humanistyczne - doktor (2007)",parlamentarzysta,, doktor,,,
Piotr Uściński,Piotr.Uscinski@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,20  Warszawa,13665,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"20-05-1977, Warszawa",wyższe,"Politechnika Warszawska, Wydział Elektroniki i Technik Informacyjnych, Elektronika - inżynieria komputerowa - magister inżynier (2004)Szkoła Główna Handlowa w Warszawie, Nauki o zarządzaniu (2006) - studia podyplomoweAkademia Leona Koźmińskiego w Warszawie, Psychologia biznesu (2010) - studia podyplomowe",parlamentarzysta,,,,,
Jarosław Wałęsa,Jaroslaw.Walesa@sejm.pl,13-10-2019,Koalicja Obywatelska,25  Gdańsk,61805,12-11-2019,"poseł V kadencji, poseł VI kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","13-09-1976, Gdańsk",wyższe,"Uniwersytet Świętego Krzyża, Worcester Massachusetts USA, Politologia - magister (2000)Uniwersytet Gdański, Politologia, Europeistyka i Przemiany Globalne - magister (2014)",politolog,,,,,
Marcin Warchoł,Marcin.Warchol@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,23  Rzeszów,28495,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"13-07-1980, Nisko",wyższe,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (2004)Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - doktor (2009)Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - doktor habilitowany (2018)",adwokat,, doktor habilitowany,,,
Teresa Wargocka,Teresa.Wargocka@sejm.pl,,Prawo i Sprawiedliwość,18  Siedlce,10767,12-11-2019,"poseł VI kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"18-12-1955, Mińsk Mazowiecki",wyższe,"Katolicki Uniwersytet Lubelski, Wydział Filozofii Chrześcijańskiej, Socjologia - magister (1979)Uniwersytet Warszawski, Profilaktyka społeczna i resocjalizacja (1998) - studia podyplomowe",socjolog,,,13-10-2019,,
